upper,counts
1000,8119
2000,9844
3000,104705
4000,350994
5000,489364
6000,532197
7000,558799
8000,600726
9000,672223
10000,755269
11000,829978
12000,885738
13000,916450
14000,915022
15000,877619
16000,810864
17000,699945
18000,591092
19000,487199
20000,393874
21000,313826
22000,247544
23000,195413
24000,152333
25000,116190
26000,87150
27000,63636
28000,43777
29000,28781
30000,17429
31000,9962
32000,5462
33000,2737
34000,1441
35000,689
36000,388
37000,211
38000,135
39000,93
40000,63
41000,62
42000,39
43000,30
44000,26
45000,19
46000,11
47000,10
48000,6
49000,2
